Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-02-03,Widget B,South,934,52,Male,3.073274889716732
2022-02-04,Widget B,South,665,69,Male,3.3493911649721118
2022-02-05,Widget A,East,909,65,Male,1.696842700285564
2022-02-06,Widget D,East,419,51,Male,4.85156653671215
2022-02-07,Widget A,South,225,27,Male,1.7023191105384652
2022-02-08,Widget A,West,376,52,Male,1.710231678852891
2022-02-09,Widget C,East,303,28,Female,4.66066855189822
2022-02-10,Widget C,North,293,28,Male,2.8608217324866843
2022-02-11,Widget C,North,780,38,Female,1.2527531170980648
2022-02-12,Widget B,North,763,38,Female,3.3927499997541144
2022-02-13,Widget D,West,646,39,Male,3.4073053945321914
2022-02-14,Widget D,South,795,62,Male,1.2580030347462472
2022-02-15,Widget D,North,385,24,Female,4.890089982534648
2022-02-16,Widget D,West,156,34,Female,3.1761198611783024
2022-02-17,Widget C,East,833,19,Female,3.239182888719057
2022-02-18,Widget B,South,402,29,Female,3.080461658009578
2022-02-19,Widget B,East,262,59,Male,3.44292711857848
2022-02-20,Widget C,West,118,35,Male,2.05719901109502
2022-02-21,Widget B,North,469,28,Male,2.148965391899363
2022-02-22,Widget C,North,363,33,Female,3.045356359184531
2022-02-23,Widget D,West,893,66,Male,4.226743419054318
2022-02-24,Widget C,North,212,68,Female,1.1994583059767154
2022-02-25,Widget D,South,587,35,Male,3.413616848880984
2022-02-26,Widget D,West,426,52,Female,4.227112570025255
2022-02-27,Widget A,East,641,43,Male,1.6276690881489086
2022-02-28,Widget C,West,746,33,Male,1.0600901679222652
2022-03-01,Widget A,South,678,23,Female,2.2508531805658323
2022-03-02,Widget C,South,164,61,Female,3.3525748269183926
2022-03-03,Widget C,West,391,60,Female,1.5531326936189909
2022-03-04,Widget A,West,124,64,Female,2.704489483889942
2022-03-05,Widget A,North,648,64,Female,3.2092859894971117
2022-03-06,Widget C,South,100,65,Male,3.3955323790292686
2022-03-07,Widget B,West,648,59,Female,2.0976468840015006
2022-03-08,Widget D,West,240,29,Male,2.6001185439451655
2022-03-09,Widget A,South,843,30,Male,4.113356916270234
2022-03-10,Widget D,West,747,21,Male,4.7648587764827415
2022-03-11,Widget B,North,287,56,Male,4.447521324473029
2022-03-12,Widget B,South,227,19,Male,3.2571340069337276
2022-03-13,Widget B,North,300,43,Female,2.641171211775786
2022-03-14,Widget A,North,226,44,Female,2.331826457485673
2022-03-15,Widget B,North,356,44,Male,1.4998262643360722
2022-03-16,Widget A,North,775,32,Male,1.426204988864452
2022-03-17,Widget B,South,646,25,Female,3.753430499654631
2022-03-18,Widget D,North,293,24,Female,2.0391776646846416
2022-03-19,Widget D,North,802,64,Male,2.018646745729787
2022-03-20,Widget C,West,203,63,Female,4.992780217911143
2022-03-21,Widget D,South,634,57,Female,1.7517038314951816
2022-03-22,Widget C,South,364,29,Female,1.5922390379553186
2022-03-23,Widget D,East,901,30,Male,1.3947409110396825
2022-03-24,Widget A,South,483,60,Female,3.3192213806671846
2022-03-25,Widget D,South,359,34,Male,3.5114553040084058
2022-03-26,Widget C,East,513,34,Male,2.4609117050275278
2022-03-27,Widget C,South,457,53,Male,3.141653342045871
2022-03-28,Widget B,South,174,38,Male,4.15359812377965
2022-03-29,Widget A,South,454,25,Male,4.272416673286994
2022-03-30,Widget D,South,683,22,Female,4.831648302862593
2022-03-31,Widget B,East,870,43,Male,4.297071943691498
2022-04-01,Widget D,South,287,33,Male,3.2593657468697064
2022-04-02,Widget D,South,784,53,Male,1.718627863347384
2022-04-03,Widget B,East,389,45,Female,1.3990542308113696
2022-04-04,Widget B,West,144,46,Female,1.2180475596434368
2022-04-05,Widget B,North,672,64,Female,3.666103327141535
2022-04-06,Widget B,West,182,29,Female,4.230145021591973
2022-04-07,Widget B,East,222,54,Female,3.034735802736316
2022-04-08,Widget D,North,457,47,Female,1.2188566993345598
2022-04-09,Widget B,East,627,40,Female,3.1418822983653527
2022-04-10,Widget A,East,165,33,Male,4.742997046098202
2022-04-11,Widget C,South,756,31,Male,3.390452763729842
2022-04-12,Widget B,North,474,27,Female,4.23770995385126
2022-04-13,Widget B,South,261,24,Male,4.200610593567003
2022-04-14,Widget D,North,845,62,Male,4.728516399122611
2022-04-15,Widget B,East,479,69,Female,4.080915062599493
2022-04-16,Widget B,East,755,54,Male,3.9908020560523583
2022-04-17,Widget B,West,457,46,Male,1.9364106598825623
2022-04-18,Widget D,North,287,20,Female,1.2397006212843258
2022-04-19,Widget B,South,421,32,Male,3.070397860215231
2022-04-20,Widget C,West,549,53,Female,1.4977368317870208
2022-04-21,Widget D,West,573,64,Female,4.848783505111966
2022-04-22,Widget C,West,112,63,Male,2.1596990505321143
2022-04-23,Widget D,South,283,69,Male,4.411776813537172
2022-04-24,Widget B,West,210,36,Male,2.5504985008098373
2022-04-25,Widget C,South,607,30,Female,2.2927769994295097
2022-04-26,Widget D,West,389,59,Female,4.740634289506485
2022-04-27,Widget A,South,394,38,Female,2.453290288344896
2022-04-28,Widget B,East,550,54,Male,2.561151634652546
2022-04-29,Widget D,East,314,44,Male,1.4243671184516367
2022-04-30,Widget A,East,731,69,Female,3.681786661130037
2022-05-01,Widget D,East,993,46,Male,2.155357657910054
2022-05-02,Widget A,East,666,37,Male,3.342416671358029
2022-05-03,Widget B,West,126,42,Female,3.365406816212838
2022-05-04,Widget C,West,729,23,Female,3.876798782383068
2022-05-05,Widget A,West,832,53,Male,3.980965944689765
2022-05-06,Widget D,South,330,19,Female,3.0578097376061577
2022-05-07,Widget B,South,664,39,Male,2.323967790413612
2022-05-08,Widget A,South,906,49,Female,4.349803579338936
2022-05-09,Widget D,South,420,33,Female,2.239462597633939
2022-05-10,Widget D,East,332,35,Female,3.030036377877326
2022-05-11,Widget D,East,769,22,Male,2.605010332814912
2022-05-12,Widget A,East,536,53,Male,4.420313543878752
2022-05-13,Widget A,North,880,47,Female,2.727674124583315
2022-05-14,Widget A,West,632,62,Female,2.544396755349937
2022-05-15,Widget C,South,502,36,Female,3.75929477159055
2022-05-16,Widget A,South,152,40,Male,3.409764439445771
2022-05-17,Widget A,East,886,51,Female,1.4289873339833843
2022-05-18,Widget A,South,412,30,Female,3.032675225375853
2022-05-19,Widget C,South,380,60,Female,3.9419135533329905
2022-05-20,Widget A,West,825,46,Female,4.9682990583654245
2022-05-21,Widget D,East,130,53,Male,3.5165873358812765
2022-05-22,Widget A,West,436,39,Male,2.481172265765271
2022-05-23,Widget D,North,282,69,Female,1.9046063992084736
2022-05-24,Widget D,North,122,69,Male,4.491320936613281
2022-05-25,Widget D,North,643,64,Male,4.258260848454011
2022-05-26,Widget C,East,545,53,Male,1.9356912831175395
2022-05-27,Widget C,South,173,26,Female,1.8025283605862938
2022-05-28,Widget C,East,109,56,Male,3.8605471072447024
2022-05-29,Widget A,East,583,68,Male,2.259808247675038
2022-05-30,Widget D,South,555,36,Male,2.2255951934478313
2022-05-31,Widget C,West,665,55,Female,1.609160988270621
2022-06-01,Widget C,North,663,23,Female,2.0559020788393196
2022-06-02,Widget A,West,759,69,Male,2.7100302303705983
2022-06-03,Widget C,North,259,64,Male,3.931353349089662
2022-06-04,Widget A,East,981,32,Female,2.345232377654999
2022-06-05,Widget B,North,113,37,Female,2.3144173579193708
2022-06-06,Widget C,East,277,26,Male,2.1396530102097433
2022-06-07,Widget B,West,511,49,Male,2.913134670044172
2022-06-08,Widget A,East,977,21,Female,1.7225467917652613
2022-06-09,Widget D,West,152,67,Female,2.942522936128502
2022-06-10,Widget C,South,507,35,Male,3.8167022247787594
2022-06-11,Widget A,South,946,22,Female,1.1191620161304887
2022-06-12,Widget D,South,121,37,Male,1.0391175212230475
2022-06-13,Widget D,East,129,40,Male,1.300491640618037
2022-06-14,Widget B,South,802,28,Male,3.1426402469124484
2022-06-15,Widget A,North,359,54,Female,4.417820332741614
2022-06-16,Widget D,West,304,39,Male,1.0195378640810078
2022-06-17,Widget C,West,158,21,Male,4.746645218338724
2022-06-18,Widget C,North,570,46,Female,1.4251140462821432
2022-06-19,Widget B,East,875,61,Female,4.367934112232906
2022-06-20,Widget D,East,565,51,Male,2.931419059931787
2022-06-21,Widget A,West,111,30,Male,3.637429549115376
2022-06-22,Widget C,South,730,59,Female,3.0427319377887296
2022-06-23,Widget D,East,389,26,Female,2.9081929007174185
2022-06-24,Widget D,East,949,59,Female,4.339597713457566
2022-06-25,Widget B,North,859,48,Male,4.023545518271265
2022-06-26,Widget C,North,453,24,Male,2.9336089460920167
2022-06-27,Widget C,South,738,21,Male,1.4465437175842464
2022-06-28,Widget A,East,174,36,Female,1.4616118372576326
2022-06-29,Widget C,East,972,59,Male,4.206157842876301
2022-06-30,Widget A,North,815,47,Female,3.117562485390134
2022-07-01,Widget C,East,660,48,Male,2.9263565608774504
2022-07-02,Widget B,West,690,52,Female,3.7222673654428604
2022-07-03,Widget C,North,540,38,Male,4.435366333657042
2022-07-04,Widget A,South,340,48,Male,3.515492577653221
2022-07-05,Widget A,North,960,36,Female,4.051391609385917
2022-07-06,Widget B,East,253,48,Female,4.061082096467828
2022-07-07,Widget C,South,885,49,Male,2.4250457951718363
2022-07-08,Widget C,North,195,19,Female,2.096332782563983
2022-07-09,Widget B,West,825,69,Female,4.204656268700635
2022-07-10,Widget C,West,393,27,Male,2.508715167136974
2022-07-11,Widget C,North,308,19,Female,4.613344026090821
2022-07-12,Widget A,West,442,19,Male,1.2787627869204785
2022-07-13,Widget C,West,187,41,Male,1.2328700483013586
2022-07-14,Widget C,West,917,34,Female,4.708016640405633
2022-07-15,Widget B,South,875,49,Female,3.5938196567257394
2022-07-16,Widget B,West,489,33,Male,2.5183974257933293
2022-07-17,Widget D,West,424,33,Male,4.020241659264731
2022-07-18,Widget A,West,988,63,Male,3.689307239974565
2022-07-19,Widget C,South,931,56,Male,3.124804187278385
2022-07-20,Widget C,North,256,48,Male,1.3954933706506054
2022-07-21,Widget D,East,767,60,Male,4.248718349171006
2022-07-22,Widget C,West,750,41,Female,4.464092762722499
2022-07-23,Widget A,North,732,18,Female,1.6886747542105964
2022-07-24,Widget D,West,676,28,Female,4.402046607908266
2022-07-25,Widget A,South,718,38,Male,4.511389244066256
2022-07-26,Widget D,North,758,21,Female,3.197714449154064
2022-07-27,Widget D,South,236,24,Male,3.624716144890748
2022-07-28,Widget B,West,773,43,Male,2.5289492800579656
2022-07-29,Widget A,West,527,64,Female,2.127166590037064
2022-07-30,Widget C,South,551,67,Male,3.887932587806579
2022-07-31,Widget C,East,711,29,Male,4.447500596063232
2022-08-01,Widget A,South,949,48,Male,3.61631021182299
2022-08-02,Widget C,West,918,34,Male,3.046362442586197
2022-08-03,Widget C,South,240,50,Male,1.6356990673766862
2022-08-04,Widget A,East,182,28,Male,1.2138348504192726
2022-08-05,Widget D,South,276,45,Female,2.7827671609869857
2022-08-06,Widget A,East,297,49,Male,1.197398254789685
2022-08-07,Widget D,East,723,18,Male,3.2773385276289004
2022-08-08,Widget C,South,667,64,Male,2.530916765271085
2022-08-09,Widget C,South,790,45,Male,4.028756478727878
2022-08-10,Widget C,North,520,59,Female,2.222593987344734
2022-08-11,Widget B,West,500,24,Female,3.3719308038697284
2022-08-12,Widget D,East,797,19,Male,3.150734087020402
2022-08-13,Widget B,North,570,59,Male,1.0188497020889646
2022-08-14,Widget B,South,317,41,Male,1.2895575930572414
2022-08-15,Widget A,West,927,21,Female,2.161472849944082
2022-08-16,Widget B,North,828,61,Female,4.52894032408306
2022-08-17,Widget A,East,731,36,Female,1.5880598195991142
2022-08-18,Widget A,North,274,43,Female,3.8435773218421665
2022-08-19,Widget B,East,122,28,Male,4.893466264609149
2022-08-20,Widget D,South,824,57,Female,4.162270210764621
2022-08-21,Widget D,West,334,67,Female,1.9717814467481758
2022-08-22,Widget D,West,112,60,Male,4.6334610416523265
2022-08-23,Widget D,West,200,28,Male,1.3724286260335603
2022-08-24,Widget D,South,635,62,Female,2.872567767482943
2022-08-25,Widget B,East,975,20,Female,4.550167630905655
2022-08-26,Widget B,South,622,29,Female,3.565062837027479
2022-08-27,Widget C,West,884,20,Female,2.6545782589107954
2022-08-28,Widget D,South,551,59,Male,2.171251466948675
2022-08-29,Widget B,South,530,44,Male,2.5003976212734
2022-08-30,Widget C,South,892,66,Female,3.035767124037145
2022-08-31,Widget D,East,705,19,Female,2.2761757194912295
2022-09-01,Widget A,North,812,66,Female,4.875871448329199
2022-09-02,Widget C,North,632,33,Female,4.73231061226458
2022-09-03,Widget B,South,951,19,Female,4.482685872857283
2022-09-04,Widget A,North,822,47,Male,2.6873193420906136
2022-09-05,Widget A,North,751,37,Male,3.7652070773409156
2022-09-06,Widget A,South,392,55,Male,4.611317228143859
2022-09-07,Widget C,South,909,45,Female,4.401717950715712
2022-09-08,Widget B,West,200,42,Female,2.6573080560808306
2022-09-09,Widget A,North,601,49,Male,1.4495441972890428
2022-09-10,Widget D,East,403,27,Male,1.3025214553381979
2022-09-11,Widget A,South,970,59,Female,3.3082561809028106
2022-09-12,Widget A,West,639,57,Male,3.5705117408437266
2022-09-13,Widget C,East,652,50,Female,4.399370418388097
2022-09-14,Widget C,North,454,30,Female,2.170060081364124
2022-09-15,Widget B,West,402,58,Male,1.66988196220017
2022-09-16,Widget D,South,595,59,Male,2.516023332712798
2022-09-17,Widget C,East,757,64,Male,2.4143004945291002
2022-09-18,Widget A,South,867,54,Female,1.529875816071419
2022-09-19,Widget B,North,326,33,Female,3.6891306100526084
2022-09-20,Widget A,East,335,62,Male,3.034767762917504
2022-09-21,Widget A,North,972,39,Female,3.884491024459065
2022-09-22,Widget C,North,991,37,Female,2.410764480678939
2022-09-23,Widget B,West,554,67,Female,2.302808846310809
2022-09-24,Widget D,South,112,60,Male,2.8903034121754225
2022-09-25,Widget D,East,309,44,Female,4.509629381580588
2022-09-26,Widget C,North,840,58,Male,1.1611252269359214
2022-09-27,Widget C,North,496,33,Male,4.219331269185888
2022-09-28,Widget B,East,199,51,Female,2.475950450631026
2022-09-29,Widget D,North,130,49,Male,4.41847610315391
2022-09-30,Widget D,West,997,43,Female,4.208812035343426
2022-10-01,Widget D,West,627,42,Male,2.3950449895843535
2022-10-02,Widget A,West,748,19,Male,3.775506141286464
2022-10-03,Widget D,West,428,29,Female,1.6385310270937605
2022-10-04,Widget A,North,265,57,Male,4.5851262086551525
2022-10-05,Widget B,East,558,26,Male,2.6179642578076376
2022-10-06,Widget A,East,921,29,Male,2.8225024614208007
2022-10-07,Widget B,East,199,43,Female,3.8230362041479395
2022-10-08,Widget D,East,720,26,Female,4.283360946819403
2022-10-09,Widget D,South,954,27,Male,1.9453709733128384
2022-10-10,Widget B,East,272,49,Male,3.6454005595079817
2022-10-11,Widget C,South,848,51,Male,2.567992175556594
2022-10-12,Widget B,South,261,65,Female,2.4748116960158453
2022-10-13,Widget C,West,827,37,Female,3.760103295762619
2022-10-14,Widget A,South,875,56,Male,2.5487330966237374
2022-10-15,Widget A,North,362,19,Female,2.3844340006576306
2022-10-16,Widget A,South,903,18,Female,4.343553632504969
2022-10-17,Widget D,West,373,68,Female,1.4051044953240255
2022-10-18,Widget A,South,102,53,Female,3.7035704913208427
2022-10-19,Widget C,North,127,41,Male,1.9949015751624986
2022-10-20,Widget A,North,425,44,Female,1.0619929673047612
2022-10-21,Widget B,North,248,19,Female,1.667057075490768
2022-10-22,Widget B,West,639,48,Male,3.426646119103471
2022-10-23,Widget D,West,587,31,Male,3.8365087659437496
2022-10-24,Widget B,East,921,19,Female,1.0842311342252802
2022-10-25,Widget C,West,537,46,Female,1.1457017732068806
2022-10-26,Widget A,North,164,32,Male,4.610168459371812
2022-10-27,Widget D,North,455,29,Male,1.2932232724548793
2022-10-28,Widget A,West,632,54,Male,4.576728634466285
2022-10-29,Widget A,South,351,45,Female,1.9126636550036231
2022-10-30,Widget C,West,334,37,Female,3.9600712006328513
2022-10-31,Widget B,West,326,56,Male,2.2389329957840483
2022-11-01,Widget B,North,624,41,Female,4.435008102436735
2022-11-02,Widget A,East,412,38,Male,3.8018194616974315
2022-11-03,Widget D,North,148,27,Female,2.6072538344067806
2022-11-04,Widget B,East,217,63,Male,1.3052098166963182
2022-11-05,Widget D,North,153,31,Male,3.930800735483228
2022-11-06,Widget B,West,749,54,Female,3.467539023860726
2022-11-07,Widget D,North,664,35,Female,1.011646871335155
2022-11-08,Widget C,North,143,41,Female,1.0376794238897813
2022-11-09,Widget D,North,914,31,Female,4.235171892770776
2022-11-10,Widget C,West,152,51,Female,2.0375989552074154
2022-11-11,Widget C,West,685,29,Female,3.5445346709122627
2022-11-12,Widget D,West,657,39,Male,2.81685767906099
2022-11-13,Widget C,West,624,23,Female,4.453720058087069
2022-11-14,Widget A,East,776,53,Male,4.6678444524099545
2022-11-15,Widget C,East,201,62,Male,4.987230850715417
2022-11-16,Widget B,South,891,53,Female,1.6147365432289873
2022-11-17,Widget D,West,869,39,Male,4.451856185901901
2022-11-18,Widget A,East,948,31,Male,2.064085506915207
2022-11-19,Widget D,North,967,33,Female,3.3632634995820307
2022-11-20,Widget B,West,497,53,Female,3.0230913354768436
2022-11-21,Widget B,South,237,42,Female,1.0719525262895506
2022-11-22,Widget B,South,774,49,Male,4.731085119624379
2022-11-23,Widget C,South,486,50,Female,1.3133082205968738
2022-11-24,Widget C,North,210,62,Female,3.7528756776309433
2022-11-25,Widget D,East,713,53,Female,4.140027344833048
2022-11-26,Widget D,North,116,37,Female,4.181151396190737
2022-11-27,Widget A,West,879,35,Male,1.5419780757153791
2022-11-28,Widget A,South,281,55,Female,2.7902798020318884
2022-11-29,Widget D,North,983,20,Male,4.317715481735919
2022-11-30,Widget C,North,635,40,Female,2.2107168415150187
2022-12-01,Widget B,East,640,49,Male,2.8709947014986543
2022-12-02,Widget D,East,270,62,Male,2.091175570799383
2022-12-03,Widget A,South,508,33,Male,2.8542056715412967
2022-12-04,Widget C,North,839,22,Female,4.55135169037152
2022-12-05,Widget D,North,477,21,Male,2.8204969241310778
2022-12-06,Widget D,East,287,38,Female,3.2236480682972815
2022-12-07,Widget C,North,957,57,Female,2.615905133212334
2022-12-08,Widget D,North,329,68,Female,2.840468732813302
2022-12-09,Widget C,North,932,31,Female,1.0606967961856868
2022-12-10,Widget B,East,951,56,Female,2.134982039841824
2022-12-11,Widget C,South,218,48,Male,2.7463268869672977
2022-12-12,Widget C,West,255,31,Female,3.5351879039709155
2022-12-13,Widget C,South,883,23,Male,2.8002077222155686
2022-12-14,Widget D,West,786,29,Male,2.351268173286256
2022-12-15,Widget D,North,564,33,Male,2.5523949413766287
2022-12-16,Widget C,South,203,34,Male,1.9691733168018661
2022-12-17,Widget D,West,703,62,Male,4.697977131096211
2022-12-18,Widget A,East,797,40,Male,3.0869729031636584
2022-12-19,Widget A,East,894,31,Male,1.0536378154884924
2022-12-20,Widget D,South,601,24,Female,1.0777850336781865
2022-12-21,Widget D,South,792,63,Male,4.891846539808166
2022-12-22,Widget C,North,781,49,Female,1.8858035654929801
2022-12-23,Widget B,South,798,32,Male,4.222433155257258
2022-12-24,Widget D,North,274,61,Male,1.233101206242298
2022-12-25,Widget A,North,833,34,Male,4.684650946778197
2022-12-26,Widget C,East,844,58,Male,4.497668014666713
2022-12-27,Widget D,East,773,64,Female,3.2843726497380588
2022-12-28,Widget A,West,520,61,Female,1.035994629133023
2022-12-29,Widget A,East,233,51,Female,2.0312434960933503
2022-12-30,Widget B,East,490,22,Male,2.62729058959386
2022-12-31,Widget C,South,835,62,Male,2.840256466990247
2023-01-01,Widget C,East,600,44,Male,2.190715034249488
2023-01-02,Widget B,West,764,69,Female,1.13179147298212
2023-01-03,Widget B,South,132,40,Male,3.3605096237061685
2023-01-04,Widget C,West,154,57,Female,3.0966186707790238
2023-01-05,Widget C,East,618,31,Female,2.132002541716311
2023-01-06,Widget D,West,855,32,Male,1.1519038702784261
2023-01-07,Widget D,South,924,60,Male,4.978376748887761
2023-01-08,Widget B,North,737,50,Female,2.9279447473056237
2023-01-09,Widget D,West,111,48,Female,4.024016967096308
2023-01-10,Widget A,West,627,52,Female,2.809256140205342
2023-01-11,Widget D,South,819,34,Male,1.1726811634517658
2023-01-12,Widget D,South,654,45,Male,2.2384029803420002
2023-01-13,Widget A,West,472,36,Male,2.2804405640236047
2023-01-14,Widget B,East,583,63,Male,4.353411616196064
2023-01-15,Widget A,West,746,40,Male,3.6169199119994975
2023-01-16,Widget D,South,327,49,Male,2.1017196145578914
2023-01-17,Widget B,North,722,57,Female,4.870959818636344
2023-01-18,Widget D,North,406,30,Female,2.2861673295914855
2023-01-19,Widget A,East,556,37,Female,4.992936103314881
2023-01-20,Widget A,West,259,52,Male,4.984654772681052
2023-01-21,Widget D,North,430,22,Female,1.7648420709869672
2023-01-22,Widget C,West,875,26,Male,2.2509644647536007
2023-01-23,Widget C,South,324,46,Male,2.9441767939386168
2023-01-24,Widget A,North,828,23,Female,3.656402684591564
2023-01-25,Widget A,East,603,42,Male,3.112189796015197
2023-01-26,Widget C,South,555,48,Female,4.877765876529027
2023-01-27,Widget C,East,144,39,Female,3.895956656942766
2023-01-28,Widget D,South,313,19,Male,1.8481793975318976
2023-01-29,Widget D,North,158,62,Female,1.4203902008545533
2023-01-30,Widget C,East,743,22,Female,3.753605162837427
2023-01-31,Widget D,East,715,44,Female,1.633809760723052
2023-02-01,Widget D,South,294,42,Female,4.1507073613430165
2023-02-02,Widget B,East,588,25,Male,2.244146669041348
2023-02-03,Widget D,South,256,18,Female,2.307573052222426
2023-02-04,Widget A,South,709,37,Female,1.0431935695580479
2023-02-05,Widget D,South,325,61,Female,3.8040450683801628
2023-02-06,Widget D,South,511,40,Male,1.4530790122587431
2023-02-07,Widget C,North,304,49,Female,4.0915223098540725
2023-02-08,Widget A,South,178,28,Male,2.967471287668827
2023-02-09,Widget D,West,223,56,Female,4.137119259818276
2023-02-10,Widget D,East,570,64,Female,3.335706156790965
2023-02-11,Widget B,West,317,41,Female,1.329733088075963
2023-02-12,Widget D,North,615,28,Male,4.062609346820732
2023-02-13,Widget D,West,701,46,Male,1.279197939578999
2023-02-14,Widget B,East,203,43,Male,2.914806882277329
2023-02-15,Widget C,West,492,33,Male,1.6893968565798532
2023-02-16,Widget D,North,730,52,Male,4.009340711911539
2023-02-17,Widget B,South,744,37,Male,4.646364911224506
2023-02-18,Widget A,West,923,63,Female,3.216504653433097
2023-02-19,Widget C,North,707,20,Male,3.108589177196722
2023-02-20,Widget A,North,533,18,Female,4.055852785302472
2023-02-21,Widget A,East,430,64,Male,1.0203152519029088
2023-02-22,Widget B,East,242,18,Male,4.671034570540643
2023-02-23,Widget D,West,899,34,Male,1.7897952683645268
2023-02-24,Widget B,South,639,19,Female,4.9364755353049485
2023-02-25,Widget B,North,377,46,Male,3.9450157918418487
2023-02-26,Widget B,West,332,37,Male,4.097004590802684
2023-02-27,Widget B,North,628,23,Female,3.6248119214944263
2023-02-28,Widget C,North,670,25,Female,2.886652731140641
2023-03-01,Widget D,South,189,46,Female,3.286510773444662
2023-03-02,Widget A,South,591,65,Female,1.1856115440605026
2023-03-03,Widget A,West,298,68,Male,3.495838037728057
2023-03-04,Widget D,South,461,50,Female,3.504392407948187
2023-03-05,Widget A,South,540,20,Male,4.564803189607238
2023-03-06,Widget D,West,125,52,Male,3.0226254297208777
2023-03-07,Widget A,South,124,22,Female,1.308577496344244
2023-03-08,Widget B,East,493,44,Male,2.224783681928325
2023-03-09,Widget A,North,606,61,Female,3.62251764845727
2023-03-10,Widget D,North,400,29,Male,1.9570354510058556
2023-03-11,Widget D,North,438,37,Female,2.1221112874216037
2023-03-12,Widget D,North,366,62,Female,4.281876065443414
2023-03-13,Widget D,West,560,37,Female,3.337278927050836
2023-03-14,Widget D,North,792,26,Female,3.03410972709429
2023-03-15,Widget C,North,555,56,Female,2.2738078672232174
2023-03-16,Widget C,North,459,21,Female,3.9237121437321334
2023-03-17,Widget A,North,167,68,Male,2.1508737379601173
2023-03-18,Widget D,East,962,36,Male,3.948254070576701
2023-03-19,Widget A,North,511,55,Male,1.280405921069768
2023-03-20,Widget D,East,590,44,Female,4.458165366328334
2023-03-21,Widget D,West,932,62,Male,2.998265853503731
2023-03-22,Widget C,South,148,60,Female,2.75403206679588
2023-03-23,Widget C,North,786,30,Male,3.444093646167698
2023-03-24,Widget B,South,663,30,Male,3.4967682915850817
2023-03-25,Widget C,South,201,39,Female,1.5281407075599822
2023-03-26,Widget B,West,315,45,Male,4.0249343592648525
2023-03-27,Widget B,South,537,69,Male,2.1037131918002516
2023-03-28,Widget B,East,799,64,Male,4.619847520679656
2023-03-29,Widget B,South,668,62,Female,4.2714026536593295
2023-03-30,Widget B,South,658,39,Male,2.385064166138994
2023-03-31,Widget A,South,258,60,Female,4.230957172802858
2023-04-01,Widget C,North,588,36,Male,2.4255619971996167
2023-04-02,Widget B,North,785,25,Male,1.4037907265441625
2023-04-03,Widget D,East,341,69,Male,4.847552954902832
2023-04-04,Widget C,East,893,25,Male,3.61040806086176
2023-04-05,Widget C,North,852,59,Female,2.8243981066503667
2023-04-06,Widget B,East,981,43,Male,2.5910934061241586
2023-04-07,Widget A,North,104,65,Female,2.298821337033056
2023-04-08,Widget B,West,695,68,Female,4.925790381716517
2023-04-09,Widget A,South,919,43,Male,1.5389890605236296
2023-04-10,Widget D,South,460,40,Male,2.2592202356822733
2023-04-11,Widget C,East,558,60,Female,2.941990561130654
2023-04-12,Widget D,North,347,30,Female,2.9119981802172457
2023-04-13,Widget A,North,665,45,Male,2.885465937631374
2023-04-14,Widget A,East,772,26,Male,1.7031352633215273
2023-04-15,Widget D,North,521,37,Male,1.5797301084380022
2023-04-16,Widget A,West,837,36,Male,2.0190703453144803
2023-04-17,Widget D,South,114,65,Male,4.658104615208224
